basin_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
4070025450.0,-2.734886,2.0442622,2.1466792,2.7887447,-3.0736275,1.36093,-3.5800307,2.5841272,3.7332506,-2.553997,-1.3429054,3.5370212,-1.7376952,1.0232894,4.343736,-1.8906915,-1.9541507,0.24774694,2.0459876,-2.1085944,5.5540457,0.85569024,3.9483006,-0.8568902,3.42465,1.5080237,-1.3874347,-1.8323792,3.8049953,5.4802766,3.4386787,0.82443357,2.1635156,-1.6845019,0.69704205,-0.6325593,-2.5519886,-0.16482139,-1.6679476,-0.49005973,1.499257,-4.143886,0.5188109,-1.7474848,1.224964,2.2710686,0.65844053,-0.781273,-1.0704755,-0.8643899,-2.7318196,-0.029025499,-1.8979684,-1.7837584,-0.24145597,2.0948896,1.2372909,3.9587624,1.5323458,2.108115,-0.8882666,-0.51843673,-0.7986373,2.234721
4070922800.0,-2.1137717,1.4807574,2.6150656,2.276634,-2.6675425,2.1989717,-4.6198997,2.5561712,2.6985211,-3.86114,-1.9321263,2.5780497,-1.1760869,0.38821945,4.62786,-1.8189509,-2.47928,-0.4770397,1.8224732,-3.7784204,5.235833,-0.3137572,4.485986,0.04219962,3.657454,1.8120857,-0.46284366,-0.8007645,3.9974859,5.834632,2.9263034,-0.61634606,1.8244637,-2.6871781,1.9622743,0.9538758,-3.8134265,-0.45878816,-1.5466169,0.6288314,1.6244568,-3.9221845,1.7147793,-0.5386722,1.911764,2.569399,0.60466784,-0.8913575,0.3635378,0.19475794,-2.3412457,-1.2033947,-2.557827,-1.605259,0.3167471,2.9338017,1.092235,3.5428665,1.6681246,2.330537,-1.7643024,0.76981246,0.53472644,2.383681
4070842610.0,-2.2100568,1.1489657,2.8427923,2.0428658,-1.7078236,1.3316634,-3.798063,2.7685282,2.432707,-3.276108,-0.82785004,3.2487657,-1.7624248,-0.37788075,3.8653214,-1.2669139,-2.3748863,-0.025828157,1.7291505,-3.4048684,4.40639,-0.014085639,3.3176246,-0.5114954,2.5474887,1.3362181,-1.4484775,-1.4706628,3.2547514,5.469183,3.2570565,0.15604353,1.5997876,-2.276754,1.429453,0.27530113,-3.014595,-0.31561476,-1.9983296,0.18405743,0.69312406,-2.463359,1.8683897,0.2873277,0.44157097,1.9669999,0.8806853,-0.8616979,-0.6278123,-0.585177,-2.0559385,-0.27119532,-2.333724,-1.5678347,0.71136194,3.263993,0.12580217,2.8864417,0.5144577,1.7328283,-1.5548937,1.0770311,0.49921346,1.8063904
4070891490.0,-2.163484,2.5057638,1.4649339,3.447639,-2.518311,0.107480034,-2.500466,3.1325634,3.5603487,-1.2318667,-0.42747027,3.973034,-3.08142,1.1511312,3.4058726,-1.6206591,-1.3029052,0.21886164,2.1041589,-0.6319362,5.5719724,0.8353055,3.0510602,-1.8013548,1.8638084,0.5944631,-2.02637,-3.1701941,4.161768,5.9007134,3.1252558,2.15401,2.2426057,-2.2094755,-0.34516668,-1.7063009,-0.7130422,0.9786811,-1.0982969,-1.9080633,1.1926758,-3.547044,0.7490413,-1.1165569,0.17767948,2.0106952,1.4144647,0.61436754,-3.0221295,-2.4106603,-2.7060971,1.7223455,-2.1667657,-2.2840986,-0.2921537,2.12637,-0.0027620047,4.311383,0.17847277,1.3944582,0.46826094,-0.6418511,-1.802869,1.5022473
4070826770.0,-1.4280844,0.8349466,2.4980361,2.2420654,-0.54065865,0.84657526,-3.3214962,3.472021,1.295107,-2.9118543,0.1431582,2.8628113,-2.64503,-1.3154323,2.979232,-0.5505767,-2.3710515,-0.7316894,1.3554881,-3.4544926,3.5688376,-0.76764244,2.3206406,-1.0038104,0.6346836,0.50370556,-1.7595456,-2.073039,3.4933283,6.0681725,2.959184,0.5519966,1.2915605,-3.7692015,1.5056511,0.44725606,-2.4635437,0.40021467,-1.489863,-0.3764353,0.01176467,-1.219529,3.2593324,2.2585902,-0.665334,1.8105724,1.822922,0.6442053,-1.6918968,-1.2541454,-1.3749148,0.6246072,-2.8804078,-1.8974386,1.4570762,4.1855826,-1.4056144,2.6567738,-1.1837974,0.8584604,-1.2274816,2.4637122,0.53209174,1.1134001
4070903120.0,-2.5398152,2.8014657,1.5805647,3.2450624,-2.6380007,-0.83125335,-1.5877172,2.8137808,4.182668,-0.5860533,0.024858482,5.070631,-3.4134204,1.2458304,2.918172,-1.6522702,-0.9607876,1.2278553,2.373758,0.40891552,5.718344,1.4522061,2.5843823,-2.1791863,1.9939202,0.7050712,-2.7542267,-3.8423157,3.5781252,5.2115545,3.5287392,2.8215773,2.4328299,-0.8725357,-1.2186399,-2.8011112,0.22268748,0.9261111,-1.7797866,-2.3809474,0.8270455,-3.2196312,-0.3011636,-1.9952117,-0.58659816,1.706274,0.950212,0.09120333,-3.8176146,-3.206636,-3.1116142,2.4827633,-1.4457556,-2.212983,-0.5025078,1.6456556,-0.13333991,4.121455,0.3488358,1.4509568,0.9577496,-1.6915721,-2.368353,1.413253
4070844220.0,-2.0630646,1.4243165,2.551651,2.3722003,-2.195073,1.7932435,-4.1901236,2.8546188,2.5179665,-3.4244492,-1.2865952,2.8313563,-1.626677,0.04172989,4.194158,-1.5122631,-2.4066033,-0.44675073,1.7990975,-3.4698064,4.803393,-0.16734067,3.8900793,-0.34691846,2.8718033,1.3851902,-0.90503716,-1.2736082,3.8264434,5.9243813,3.0733593,-0.06935772,1.7510207,-2.7508168,1.670056,0.52468276,-3.3289523,-0.16187549,-1.6223292,0.2382763,1.2309045,-3.1976142,1.9507239,-0.036327187,1.1041387,2.3414388,0.8992977,-0.53593314,-0.34041688,-0.3716197,-2.1828828,-0.51876616,-2.48642,-1.7089168,0.5184514,3.1452863,0.53309673,3.3994896,0.91356,1.8818237,-1.5186058,1.0711079,0.3174992,1.9552382
4070865260.0,-2.212758,2.4303327,1.584969,3.3340127,-2.4179463,0.020998575,-2.4276807,3.100693,3.5457385,-1.2483381,-0.335738,4.112313,-3.1020825,1.0435033,3.3367195,-1.574775,-1.3208592,0.3563733,2.1126802,-0.659923,5.4810047,0.88696784,2.943896,-1.8155851,1.8357724,0.60875887,-2.1502786,-3.1947181,3.997074,5.80388,3.2026937,2.173661,2.2188928,-2.048588,-0.37441087,-1.7579381,-0.6938515,0.9263972,-1.2501724,-1.8808061,1.0707974,-3.3526332,0.7279522,-1.06479,0.016091265,1.9329935,1.3617332,0.4634124,-3.053968,-2.455726,-2.703984,1.7542834,-2.106491,-2.2573874,-0.23169076,2.1759775,-0.07244156,4.170529,0.12250859,1.3807341,0.4384984,-0.63433176,-1.7298666,1.4615513
4070842630.0,-2.0480816,1.7722274,2.287722,2.6649973,-2.905476,2.2689471,-4.5875034,2.7751205,2.8435333,-3.6382053,-2.037677,2.486735,-1.4116269,0.68121994,4.7137203,-1.9181517,-2.4182096,-0.6925002,1.905605,-3.4416544,5.4680424,-0.25157848,4.66831,-0.095315896,3.5768661,1.6857792,-0.2959065,-0.98284656,4.4643383,6.1997347,2.8514118,-0.3792945,1.9988756,-3.0338192,1.8400854,0.7839453,-3.6415343,-0.19290185,-1.2143131,0.29820773,1.8815777,-4.325806,1.7045852,-0.73793054,2.0967023,2.7379014,0.79590094,-0.35420105,0.08243771,0.014061667,-2.4478085,-0.98241556,-2.6396096,-1.8116097,0.14004433,2.783749,1.2351817,4.0012026,1.6754965,2.2738357,-1.5098457,0.68265235,0.121054865,2.3413694
4070818150.0,-1.3483144,0.3288498,3.1531882,1.6330068,-0.101567924,1.2463675,-3.9049551,3.394069,0.80812746,-3.7369065,-0.09426307,2.643924,-2.2861662,-1.8312962,3.053146,-0.4715773,-2.7678797,-0.749542,1.2552259,-4.47429,3.2415853,-1.178975,2.4850886,-0.48714325,0.88974446,0.8114772,-1.5232441,-1.4646045,3.0728464,5.9646807,2.9147131,-0.32459447,0.9938928,-3.7602336,2.1843019,1.2102706,-3.1594763,-0.009466011,-1.8827301,0.45766687,-0.11299045,-0.65189344,3.7269595,2.898174,-0.61104274,1.790542,1.5530124,-0.016740574,-0.81408453,-0.62652856,-1.1843591,-0.11526898,-3.0255861,-1.6159185,1.8391713,4.7292123,-1.4435186,2.0165846,-1.1454508,1.0133126,-1.8734322,3.11381,1.5741324,1.0547897
