grid_num,lon,lat,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010
51978,97.25,30.25,0.1847551,0.185887,0.1870374,0.18817880000000003,0.1604786,0.16145410000000002,0.1624167,0.16338850000000002,0.1643537,0.1546274,0.25936650000000006,0.36410200000000004,0.4688226999999999,0.5735475,0.6003295000000001,0.6217931999999999,0.6432528,0.6647147999999999,0.6861741000000001,1.1090265,1.0466691,0.9565305000000001,0.895952,0.8353371000000002,0.7984378,0.8591145,0.9197946,0.9804927,1.0411571999999998,1.1323088000000001,1.3462944000000001,1.5602686000000001,1.774242,1.9882372,2.2444627,2.2516266000000003,2.2587665,2.2659411,2.2730981999999997,2.2847176
51979,97.25,30.75,0.3051904000000001,0.3070601,0.3089606,0.3108462,0.26508860000000006,0.26670029999999995,0.2682906,0.2698957,0.27149,0.2565419,0.4303142,0.6040806,0.7778224,0.9515710000000001,0.9960048,1.0316153,1.0672192,1.1028261,1.1384293,1.9724670000000004,1.8615607,1.7012437999999999,1.5935015999999997,1.485695,1.4167496999999998,1.5244147000000003,1.6320859000000003,1.7397886,1.8474319999999997,2.0049754,2.3838791,2.7627621999999996,3.141644,3.5205647,3.9668590999999997,3.9795198999999997,3.9921394999999995,4.0048197000000005,4.0174692,4.0315298
51980,97.25,31.25,0.7590508,0.7637013,0.7684276,0.7731173,0.6593125,0.6633205000000001,0.6672761,0.6712683,0.6752331,0.6388138999999999,1.0715234,1.5042185000000001,1.9368520999999996,2.3695025999999997,2.4801472999999996,2.5688204,2.6574777,2.7461423,2.834798,2.5304382,2.388159,2.1824917999999998,2.0442712,1.9059684,1.8676013,2.0095284,2.1514637,2.2934408,2.4353392000000005,2.7152866999999996,3.2284263,3.7415379999999994,4.2546479999999995,4.767810900000001,5.518018300000001,5.5356305,5.5531845,5.570822699999999,5.5884188,5.7588624
51981,97.25,31.75,0.19652940000000002,0.1977336,0.19895729999999998,0.2001712,0.1707056,0.17174309999999998,0.17276740000000004,0.17380129999999996,0.1748278,0.1651439,0.27700649999999993,0.38886529999999997,0.5007086,0.6125556,0.6411589999999999,0.6640827,0.6870018999999999,0.7099232000000001,0.7328423000000001,2.7510487,2.5963649,2.3727671999999997,2.2224963,2.0721355999999997,1.8342283,1.9736194,2.1130185,2.2524582,2.391821,2.5498490000000005,3.0317237,3.513572500000001,3.995419600000001,4.477316100000001,5.0153066,5.0313139,5.0472687999999994,5.0633005,5.0792929,5.112731099999999
51982,97.25,32.25,0.5905167,0.5941345999999998,0.5978113999999999,0.6014597000000002,0.5129235000000001,0.5160413000000001,0.519119,0.5222246,0.5253091,0.5148024,0.8635111000000002,1.212208,1.5608552999999998,1.9095163,1.9986819000000005,2.0701411,2.1415875,2.2130398999999996,2.2844851,2.9215174,2.7572490999999997,2.5197959,2.3602133999999997,2.2005357000000005,1.5056458999999998,1.6200663,1.7344935000000004,1.8489544,1.9633516000000002,1.7927764999999998,2.1315786,2.4703622,2.8091445999999998,3.1479621000000004,3.070946099999999,3.0807477000000003,3.090517,3.1003334000000002,3.1101262,2.7794252000000004
51983,97.25,32.75,0.6463023000000001,0.6502619000000001,0.6542861000000001,0.6582791,0.5613790000000001,0.5647913,0.5681596999999999,0.5715588,0.5749347,0.6056841,1.0159525,1.4262070999999998,1.8364039999999997,2.2466167,2.3515229,2.4355976999999998,2.5196568000000004,2.6037229999999996,2.6877809000000004,1.8707535,1.7655664999999998,1.6135167999999998,1.5113303,1.4090827,1.3065182,1.4058063,1.5050999999999999,1.6044232000000003,1.7036908999999998,1.8475916,2.1967524000000003,2.5458947000000003,2.895035600000001,3.2442122999999996,3.6731517,3.6848750999999997,3.6965604999999995,3.7083018,3.7200146999999997,3.7662421999999993
52099,97.75,21.25,4.601359100000001,4.704747299999999,4.798466400000001,4.902481699999999,4.704282500000001,4.7968821,4.8907926,4.979908900000001,5.076516000000001,5.550406199999999,5.6476298,5.7572446,5.856302100000001,5.959207200000001,5.5407721,9.608158999999999,13.659789799999999,17.723851400000004,21.765436400000002,8.9382042,10.32829,11.884073699999998,13.302929599999999,14.7347571,15.8326597,17.2349642,19.0335461,20.4504093,21.8860007,22.8526056,23.073014000000008,23.323219900000005,23.5398361,23.7706355,23.5243154,23.751409600000002,23.968730700000002,24.189225599999997,24.418775399999998,24.1280981
52100,97.75,21.75,2.1410468000000002,2.1891542,2.2327624000000004,2.2811614,2.1889380000000003,2.2320251,2.2757224,2.3171889,2.3621410000000003,2.5733458999999996,2.6184215999999996,2.6692426,2.715169,2.762879,2.568879,4.4546498,6.3331153,8.2173444,10.0911524,6.797647199999999,7.854830199999999,9.0380284,10.117091,11.206018500000003,12.040994699999999,13.107470399999999,14.475320899999998,15.552868199999999,16.644658400000004,17.3797639,17.5473879,17.737672699999997,17.902413999999997,18.077940700000003,17.890715099999998,18.063424199999996,18.2287016,18.396392799999997,18.570970000000003,18.349893500000004
52101,97.75,22.25,1.5200896,1.5542445999999999,1.5852053000000002,1.6195674999999996,1.5540907999999998,1.5846816999999995,1.6157057,1.6451459000000002,1.6770608999999999,1.8029621,1.8345436,1.8701501999999999,1.9023274999999997,1.9357545999999997,1.7998325,3.1210590000000007,4.4371673000000005,5.757313999999999,7.070159100000001,9.3427814,10.795788,12.4219922,13.905071099999999,15.4017086,16.5494122,18.015200399999998,19.8952045,21.3762098,22.876790800000002,23.8870514,24.117436700000003,24.37896779999999,24.6053908,24.8466368,24.589184,24.826558300000002,25.053716500000004,25.2841934,25.5241342,25.2201757
52102,97.75,22.75,1.8998113,1.9424982,1.9811931,2.0241389,1.9423062,1.980539,2.0193128,2.0561072,2.0959942000000003,2.2789976,2.3189176,2.3639256,2.4045983999999994,2.4468512999999996,2.2750418,3.9451118,5.608711800000001,7.2774161,8.9368915,13.6091289,15.725646099999999,18.094450600000002,20.254771700000003,22.4348442,24.1065508,26.2416776,28.980169000000004,31.137461899999998,33.323270300000004,34.794875999999995,35.1304645,35.5114211,35.841237799999995,36.19264799999999,35.817786999999996,36.163557999999995,36.49444780000001,36.830170700000004,37.1796791,36.737013399999995
